Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
"RT @MaryBur63637674: @FozzieBear88 @ResisterSis20 @glennkirschner2 @MSNBC Insurrection means you get organic food in jail, and vacation to…",2021-02-09 23:21:38,1359281333873373186,elzaphan10,,,50,0,en,,,,False
"RT @MaryBur63637674: @FozzieBear88 @ResisterSis20 @glennkirschner2 @MSNBC Insurrection means you get organic food in jail, and vacation to…",2021-02-09 23:21:33,1359281310989230080,Onward01609988,,,50,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:21:27,1359281285714366464,anncsborne,,,1426,0,en,Twitter for iPhone,,,False
@nypost He won't get to go to Mexico or have organic food I bet.,2021-02-09 23:21:08,1359281205426999297,YvetteIam,,,0,0,en,Twitter Web App,1359188744205709312,17469289,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:20:46,1359281113600958465,TheCiroth,,,226,0,en,Twitter Web App,,,False
"RT @jaydotp96: working with people who care about organic, healthy sustainable food is awesome. spent half my shift giving out bread to the…",2021-02-09 23:20:13,1359280973872050178,elzaphan10,,,1,0,en,,,,False
"working with people who care about organic, healthy sustainable food is awesome. spent half my shift giving out bread to the homeless in my neighboorhood. the clean food movement doesnt discriminate, if done right every needs cheap access to good food and the owners stand by that",2021-02-09 23:20:07,1359280950991937541,jaydotp96,,,1,0,en,Twitter Web App,,,False
"RT @AgBioWorld: Organic Food: Not safer, better nutritionally, or likely produced by small, local farm, Robert Paarlberg argues in new book…",2021-02-09 23:19:43,1359280850521780226,elzaphan10,,,59,0,en,,,,False
"RT @AgBioWorld: Organic Food: Not safer, better nutritionally, or likely produced by small, local farm, Robert Paarlberg argues in new book…",2021-02-09 23:19:38,1359280827633401857,christinabracey,,,59,0,en,Twitter for Android,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:19:33,1359280808897335296,ubi248,,,226,0,en,Twitter for Android,,,False
